Size,First_mean,First_std,Last_mean,Last_std,Middle_mean,Middle_std,Random_mean,Random_std
1950,918.667,351.606,881.347,318.83,23.5967,5.72276,61.84,12.0782
1960,801.087,256.779,761.807,222.679,21.31,4.80936,56.1567,8.02804
1970,814.543,193.35,835.853,203.874,23.1767,8.97516,60.2,14.7067
1980,792,161.842,765.553,192.898,21.1533,4.41109,55.8967,4.83682
1990,795.567,190.343,748.19,94.5296,21.7967,6.19413,59.14,17.5829
2000,805.717,137.601,813.08,145.481,23.7133,9.9962,61.14,16.9991
2010,798.92,160.911,810.523,148.328,23.6467,6.81736,58.7533,7.28095
2020,860.593,205.715,800.447,161.557,21.7667,3.49298,58.54,9.72946
2030,958.893,265.801,868.337,261.264,25.05,9.366,74.6667,74.4214
2040,845.49,178.21,852.1,180.763,24.43,6.78615,59.6167,10.3047
2050,909.893,233.404,839.397,154.503,22.62,3.48379,60.2833,11.9076
2060,861.83,158.743,828.37,162.594,22.2233,4.4832,56.9433,4.41991
2070,907.403,176.963,853.723,195.594,22.5867,4.24684,59.3667,8.91853
2080,960.15,228.598,875.207,187.152,24.8567,7.59059,61.3867,11.4499
2090,917.173,218.515,843.017,130.758,23.77,5.4113,62.2733,17.1564
2100,951.99,233.288,928.013,241.465,26.41,9.98597,63.66,16.4409
2110,964.757,187.8,921.497,271.559,23.8967,4.37741,61.9867,7.68163
2120,957.633,241.479,887.397,206.874,24.29,5.37583,62.78,12.9817
2130,937.14,156.783,897.117,154.877,23.0033,4.75369,61.1267,8.1047
2140,943.807,214.669,856.877,92.1138,22.3267,2.84604,58.4433,4.08485
2150,941.293,210.404,859.94,106.397,23.53,4.27625,62.1567,7.53762
2160,1025.8,246.201,874.823,128.985,26.5667,10.3214,67.5633,16.9942
2170,971.197,177.218,980.277,266.499,25.16,7.6658,62.3033,9.0474
2180,1013.17,231.875,989.617,287.219,26.28,10.5736,65.6567,15.4389
2190,1057.76,264.063,971.693,198.237,26.68,8.30813,66.0133,11.1896
2200,991.037,192.711,949.433,218.743,25.7333,6.7415,65.8033,25.9521
2210,1097.33,315.212,1065.6,328.178,23.3833,0.996229,61.7067,5.11306
2220,1074.39,259.878,1004.14,228.576,31.8233,22.1665,70.4733,21.5059
2230,1041.4,252.965,963.613,159.893,25.5133,6.3295,77.08,64.0539
