Size,First,Last,Middle,Random
3650,2541.9,7599.9,48.9667,160.567
3660,2749.6,8312.07,47.5,157.367
3670,2550.07,7685.97,49.5,147.933
3680,2572.4,7547.4,46.2,149.1
3690,2610.5,7594.13,41.2333,141.833
3700,2755.67,8146.07,47.5,160.5
3710,2662.23,8090.83,41.8333,166.433
3720,2716.77,8047.3,44.7667,150.833
3730,2782.87,8203.43,45.2,149.267
3740,2818.8,8375.87,52.8,161.367
3750,2805.4,8158.97,43.3333,143.833
3760,2885.3,8535.03,45.5333,150.433
3770,2815,8310.67,44.9333,160.433
3780,2979.17,8584.87,46.8667,158.6
3790,2896.73,8387.23,41.5333,143.767
3800,2875.03,8514.57,40.2333,152.733
3810,2877.53,8740.03,42.0667,148.467
3820,3150,9355.53,44.6667,155.1
3830,2752.8,8474.8,53.5333,152.933
3840,4852.67,14612.6,70.5667,229.733
3850,4648.17,13529.1,75.8333,236.6
3860,5034.7,14784.7,70.8333,244.333
3870,5231.47,16281,78.5667,247.4
3880,5978.93,17477,90.2667,278.5
3890,6124.47,17930.7,89.9333,274.2
3900,6025.4,17530.9,93.9667,284.933
3910,6454.73,18678.4,102.2,290.833
3920,4727.33,14909.3,68.6667,234.867
3930,5073.5,15115.9,66.9667,233.933
3940,5088,15030,86.4333,259.2
3950,5578.83,17475.1,82.1,251.167
3960,5337.33,15720.1,70.7667,243.4
3970,5273.5,15006.9,79.1667,244.133
3980,5081.53,15643.8,62.6667,236.167
3990,5938.13,18578.7,90.3,284.067
4000,6537.3,19781.2,96.2667,288.933
4010,5898.43,17241.7,89.1333,294.8
4020,5368.43,16503.4,75.8333,245.667
4030,5817.37,17619.2,77.4333,250.7
4040,5501.57,17299.8,83.0333,267.167
4050,5244.03,15196.3,75.9,254.633
4060,5302.3,15044.9,75.8667,256.333
4070,5602.93,16922.9,72,258.167
4080,5452.07,16530.8,81.9667,285.033
4090,5436.8,15782.1,75.7667,270.233
4100,5272.93,16082.6,86.8333,245.9
4110,5106.9,15945.7,68.6333,239.7
4120,5604.57,15703.5,79.2,247.567
4130,5490.53,16925.6,77.0333,253.667
4140,5904.03,17075.9,98.4667,290.7
4150,5686.9,17581.7,84.6333,263.1
4160,5457.27,16614.8,78.2,238.8
4170,5503.03,16799.4,88.0333,254.1
4180,5562.13,16927.6,89.3333,284.4
4190,5575.3,16870,84.8333,249.733
4200,5639.73,16887.6,76.5,234.9
4210,5660.07,16620.3,80.3,250.233
4220,5907.1,17540.8,80.9,267.5
4230,5389.87,16846.3,76.6333,248.233
4240,5761.4,16480,83.8,265.3
4250,5827.83,16613.9,88.9333,252.6
4260,6206.77,18349.8,79.9,270.2
4270,5965.67,17821,78.6667,264.333
4280,5597.7,17672.8,75.1,249.367
4290,6220.4,19912.3,83.9667,264.167
4300,6204.4,18698.2,91.8667,291.7
4310,5506.33,17116.9,91.2333,290.467
4320,5663.33,17707.6,88.3667,286.867
4330,5982.03,18385.8,83.7,271.267
4340,6555.4,18071.4,78.8,283.5
4350,6099.4,17417.1,85.6333,264.3
4360,6038.5,18263.9,80.4,282.533
4370,6734.33,19565.9,89.1333,290.967
4380,5947.63,18013,81.3,257.7
4390,5917.03,18087.8,120.733,287.533
4400,6078.6,18847.7,75.8,276.3
4410,6147.8,18896.8,87.8,295.367
4420,5987.2,18295.9,80.1667,245.133
4430,7292.13,22272.1,100.533,458.6
4440,6677.67,20268.7,99.1,296.967
4450,6162.37,18970.1,81.1667,274.867
4460,6139.83,18641.8,90.8333,247.033
4470,6089.17,18564.6,90.2333,257.733
